SIREN,Date création établissement,Code APE,Adresse,Nom société 1,Nom société 2,Nom société 3,Nom société 4,Nom société 5,Prénom contact,Nom contact,Code postal,Ville,Téléphone,Email
﻿siren,dateCreationEtablissement,activitePrincipaleRegistreMetiersEtablissement,"numeroVoieEtablissement typeVoieEtablissement libelleVoieEtablissement,  complementAdresseEtablissement",denominationUniteLegale,sigleUniteLegale,denominationUsuelleEtablissement,denominationUsuelle1UniteLegale,enseigne1Etablissement,prenom1UniteLegale,nomUniteLegale,codePostalEtablissement,libelleCommuneEtablissement,TELEPHONE,ADRESSE E-MAIL
﻿333125987,2021-02-01,1071CB,"4 RUE DE LA GARE,  ",,,,,,ROBERT,FRECON,42490,FRAISSES,,
﻿338046741,2020-11-16,,"502  CLO DE L ILE ROCHE,  ",SARL CHEVALLIER,,CHEVALLIER,,CHEVALLIER,,,74700,SALLANCHES,,
﻿338046741,2021-12-01,,"13 RTE DE GENEVE,  ",SARL CHEVALLIER,,SARL CHEVALLIER,,CHEVALLIER,,,74910,SEYSSEL,,
﻿348698671,2021-03-01,,"320 RTE D'ANNEMASSE,  ",DUPONT SARL,,LE FOURNIL DE MARIE-LOUISE,L'EPI D'OR DU CHABLAIS,LE FOURNIL DE MARIE-LOUISE,,,74130,CONTAMINE-SUR-ARVE,,
﻿380586404,2021-07-01,1071CB,"27 RUE PIERRE DURANTET,  ",,,,,DENIS FRANCK,FRANCK,DENIS,42370,SAINT ANDRE D'APCHON,,
﻿380586404,2021-07-01,,"27 RUE PIERRE DURANTET,  ",,,,,,FRANCK,DENIS,42370,SAINT ANDRE D'APCHON,,
﻿382748796,2021-04-15,,"19  IMPASSE DES OMBRES,  ",BOULANGERIE DE LA SAVIERE,,,,CAJOU,,,73310,CHANAZ,,
﻿388555336,2021-04-15,,"  LE BOURG,  190 GRANDE RUE",,,,,,VALERIE,MOULIN,71110,SAINT-JULIEN-DE-JONZY,,
﻿391887312,2020-06-08,1071CB,"4  RTE DE MERVANS,  ",,,BOULANGERIE NICOLAS LAURENT,,,LAURENT,NICOLAS,71330,SIMARD,,
﻿391951092,2021-02-19,,"2 PL DE BEAUNE,  ",CHAUDEMANCHE,,FOURNIL DE FRANCE,,FOURNIL DE FRANCE,,,71100,CHALON-SUR-SAONE,,
﻿399150663,2020-10-01,1071CB,"2 RUE DU CHATEAU D'EAU,  LE BOURG",,,BOULANGERIE HUBERT,,BOULANGERIE HUBERT,OLIVIER,HUBERT,71710,SAINT-SYMPHORIEN-DE-MARMAGNE,,
﻿403279367,2020-07-01,,"20 IMP DES GRANGES,  ",TIFFANIE,,,,,,,74300,CHATILLON-SUR-CLUSES,,
﻿403279367,2020-07-01,,"55 RTE DE SAMOENS,  ",TIFFANIE,,TIFFANIE,,TIFFANIE,,,74440,TANINGES,,
﻿403279367,2020-07-01,,"  CHEF-LIEU,  ",TIFFANIE,,TIFFANIE,,TIFFANIE,,,74740,SIXT-FER-À-CHEVAL,,
﻿408790772,2022-01-04,1071CB,"20 RTE TOM MOREL,  LIEUDIT LE PONT SUD ENTREMONT",,,,,,GERALD,COUSIN,74130,GLIERES-VAL-DE-BORNE,,
﻿414646760,2020-12-14,,"118 RUE WHYMPER,  ",LA PANIERE,,LA PANIERE,,LA PANIERE,,,74400,CHAMONIX-MONT-BLANC,,
﻿414646760,2021-12-01,,"14 RUE DES ALPES,  ",LA PANIERE,,,,,,,74100,ANNEMASSE,,
﻿415205608,2022-09-29,1071CB,"22 AV GENERAL DE GAULLE,  ",BRUNEAU PATRICK,,,,,,,71140,BOURBON-LANCY,,
﻿419665500,2021-07-16,1071CB,"17 RUE DE LA CROIX DE MISSION,  ",,,,,CHEZ THIERRY ET MARIELLE,THIERRY,DELOLME,42480,LA FOUILLOUSE,,
﻿421104993,2021-03-31,5610CQ,"3 RUE GABRIEL PERI,  ",EURL FARINER,,,MAISON FARINER,,,,42100,SAINT-ETIENNE,,
﻿423576453,2022-01-26,1071CB,"7 RUE ETIENNE DOLET,  ",D F GUERPILLON,,,,,,,42360,PANISSIERES,,
﻿424189850,2020-09-25,,"7 RUE DES AQUEDUCS,  ",AU PECHE GOURMAND,,MAISON GRANGE BOULANGERIE GOURMANDE,,,,,42300,ROANNE,,
﻿429488232,2020-07-07,1071CB,"45 PL DU COMMERCE,  ",BOULANGERIE PATISSERIE FOLLIET,,,,,,,73230,SAINT-ALBAN-LEYSSE,,
﻿429738537,2021-05-03,1071CB,"3 RUE JEAN BOUVERI,  ",,,,,BOULANGERIE ROYER DAVID,DAVID,ROYER,71360,EPINAC,,
﻿431295377,2022-01-01,,"123 BD VALBENOITE,  ",,,,,LA GROTTE A PAIN,FARID,HASSANI,42100,SAINT-ETIENNE,,
﻿432203628,2020-03-30,,"8 AV DU PRE CLOSET,  BATIMENT LE SEMNOZ",PANIERE DES ARAVIS,,,,,,,74940,ANNECY,,
﻿439131590,2021-02-01,,"17 AV DE MOSSINGEN,  ",SPOD,,LE PALAIS GOURMAND,,LE PALAIS GOURMAND,,,74160,SAINT-JULIEN-EN-GENEVOIS,450351136,saintjuliencommerces74@gmail.com
﻿440578904,2022-02-21,1071CB,"949 CHE DES BOUCHEROZ,  ",L'INSTANT T,,LE PETIT MAZOT,LE FOUR A BOIS DES ARAVIS,LE PETIT MAZOT,,,74210,FAVERGES-SEYTHENEX,,
﻿441802949,2022-06-30,5610CQ,"233 RUE PIERRE BALVAY,  ",BOULANGERIE JANOT,,,,,,,71960,PRISSE,,
﻿443695630,2021-12-01,,"1  GRAND'RUE,  ",,,BOULANGERIE PATISSERIE JACQUETTON,BOULANGERIE PATISSERIE DU POINT DU JOUR,,FABRICE,JACQUETTON,42470,LAY,,
﻿448265934,2021-02-04,,"  RESIDENCE LA COMETE,  STATION DE LA BELLE PLAGNE",SOCIETE VETTER ET FILS,,,,,,,73210,LA PLAGNE TARENTAISE,,
﻿448927004,2022-01-20,1071CA,"20 RTE DE LA GONNE,  ",,,LES BRASSEURS D AIR,LES BRASSEURS D'AIR,,RICHARD,CARRUTHERS,42750,MARS,,
﻿452065618,2020-03-04,1071CB," PL DU VAL D ARLY,  ",,,,LA FLORALINE,,FLORIAN,ALLAIS,73400,UGINE,,
﻿452308984,2021-11-25,1071CB,"184 RUE DU VIEUX VILLAGE,  IMMEUBLE LES SAPINS",FIBRILLE,,,,,,,74260,LES GETS,,
﻿452743990,2020-10-01,1071CB,"13 PL LACRETELLE,  ",,,,AU VIEUX PLATANE,,PHILIPPE,DUCRET,71700,TOURNUS,,
﻿452888647,2020-11-01,,"15 PL THEOPHILE VALLET,  ",LE FOURNIL DU PLATEAU,,LE FOURNIL DU PLATEAU,LE FOURNIL DU PLATEAU,LE FOURNIL DU PLATEAU,,,74480,PASSY,,
﻿453698854,2020-01-07,1071CB,"183 AV DU MONT D ARBOIS,  ",PAINS & GOURMANDISES PAYS DU MONT BLANC,,,,,,,74170,SAINT-GERVAIS-LES-BAINS,,
﻿453698854,2021-08-01,1071CB,"89 AV DU MONT D ARBOIS,  ",PAINS & GOURMANDISES PAYS DU MONT BLANC,,,,LE FOURNIL DU CENTE,,,74170,SAINT-GERVAIS-LES-BAINS,,
﻿453698854,2021-08-01,1071CB,"28 IMP DE LA CASCADE,  ",PAINS & GOURMANDISES PAYS DU MONT BLANC,,,,LE FOURNIL D'ANTAN,,,74170,SAINT-GERVAIS-LES-BAINS,,
﻿478235062,2021-06-30,1071CB,"8 PL DES ANCIENS D AFN,  ",BOULANGERIE PATISSERIE GRAND,,,,,,,74950,SCIONZIER,,
﻿478455793,2021-10-17,,"131 RUE VICTOR HUGO,  ",BOULANGERIES BG,B B G,,,BOULANGERIE MARIE BLACHERE,,,42700,FIRMINY,,
﻿478455793,2021-12-01,," RUE DU 17 OCTOBRE 1961,  ZAC VARIZELLE",BOULANGERIES BG,B B G,,,BOULANGERIE MARIE BLACHERE,,,42400,SAINT-CHAMOND,,
﻿478455793,2022-03-27,,"21 RUE DU COLONNEY,  ZC   DOMAINE INDUSTRIEL DU MONT BLANC",BOULANGERIES BG,B B G,,,BOULANGERIE MARIE BLACHERE,,,74700,SALLANCHES,,
﻿478455793,2022-02-16,,"2 RUE PIERRE BEREGOVOY,  ",BOULANGERIES BG,B B G,,,BOULANGERIE MARIE BLACHERE,,,71130,GUEUGNON,,
﻿479694309,2021-02-01,1071CA,"12 RUE DE L ECOLE D ATHEZ,  ",,,MISS TARTINE,,,MARTINE,DELMOTTE,71550,ANOST,,
﻿480867175,2022-05-06,1071CB,"727 RTE D ALBERTVILLE,  ",AUX MANGEURS DE FARINE,,,,,,,74210,FAVERGES-SEYTHENEX,,
﻿482340973,2021-05-14,,"  123 ET 183 ALLEE DES ERABLES,  ZONE COMMERCIALE DU PONTET",COTE BOULANGE,,,BOULANGERIE DE MARIE BLACHERE,BOULANGERIE MARIE BLACHERE,,,73420,DRUMETTAZ-CLARAFOND,,
﻿482684925,2021-01-01,1071CB,"15 RUE DES ECOLES,  ",EURL BELANGE,,,EURL BELANGE,,,,71300,SAINT-BERAIN-SOUS-SANVIGNES,,
﻿487889594,2020-09-01,1071CB,"267 RUE EMILE ZOLA,  ",VARMA,,,,,,,73490,LA RAVOIRE,,
﻿488023433,2020-11-13,,"2  GRANDE RUE,  ",L'ACADIENNE,,L'ACADIENNE,BOULANGERIE PATISSERIE PHILIPPE ANTOINE,L'ACADIENNE,,,71460,JONCY,,
﻿493268775,2020-08-28,,"17 PL DE VERDUN,  ",BOULANGERIE PATISSERIE JEROME DUPUIS,,LA BOULANGERIE DES DELICES,,LA BOULANGERIE DES DELICES,,,42300,MABLY,,
